split,sample_id,label,length,sequence_hash_sha256,source_dataset,source_row_id,cluster_id,component_id
train,AMP_00000000,AMP,40,2fc58a4eb3e1a80b6ee6315eb66c729736943dfff1fc97593c93349575ed14ae,REPAIRED_20260207_201042.csv,0,cdhit_7366,0
train,AMP_00000001,AMP,131,f3b568da2e001f97a5535d400e0345d1a4e99c47588410fc248963d5e253ef64,REPAIRED_20260207_201042.csv,1,cdhit_3758,1
train,AMP_00000002,AMP,80,a5331ea8c2e9d2612e450fa822bd4a30308090c76be8593b9b3183917fb91220,REPAIRED_20260207_201042.csv,2,cdhit_5891,2
train,AMP_00000003,AMP,82,5b90433c20cdb24e369f8bfe8ba0c89b5e0c44786ba3961c026f9a58de0e4c46,REPAIRED_20260207_201042.csv,3,cdhit_5823,3
train,AMP_00000004,AMP,179,78314ed2c2311992e7821d50215379ef6efb7d3540c46fb4ef64e03b9ea7baf7,REPAIRED_20260207_201042.csv,4,cdhit_1218,4
train,AMP_00000005,AMP,44,26408eea7abb9c4957b0f70647bcd9715f231f2686f3c343972b24dceae0002f,REPAIRED_20260207_201042.csv,5,cdhit_7190,5
train,AMP_00000006,AMP,128,4730ca5730be5ba0d404623dd397e76f15f3a08a3459b9847d4acb6dd0984ea9,REPAIRED_20260207_201042.csv,6,cdhit_3880,6
train,AMP_00000007,AMP,151,3b6db71874ca9300a0a0554fe4251b848a8d7e7f24799419bb58d97356100c3f,REPAIRED_20260207_201042.csv,7,cdhit_2841,7
train,AMP_00000008,AMP,129,15410dcb74c7da5f3224a3bc2f33509095c8736e22f965287f80730610e003ba,REPAIRED_20260207_201042.csv,8,cdhit_3832,8
train,AMP_00000009,AMP,80,597e137d3c25ae59f1a55abe8b4d4536aa2caf0a6561dffb81e3060d2328cc56,REPAIRED_20260207_201042.csv,9,cdhit_5892,9
train,AMP_00000010,AMP,61,3fbb36e0897b063a14b3533d4f3115b01531e71683a36918781d1850fee51b22,REPAIRED_20260207_201042.csv,10,cdhit_6608,10
